Full Name,Company Name,Domain,Email,Context,Signal
David Grau Jr.,Succession Resource Group,successionresource.com,,Founder & CEO. Leading M&A consultant for RIAs. Author and speaker on succession planning. Founded SRG in 2012.,RIA M&A and succession consulting
David Grau Sr.,FP Transitions,fptransitions.com,,President & Founder. Pioneer in RIA valuations with 17000+ valuations completed. Industry thought leader.,RIA valuation and succession
Brad Bueermann,FP Transitions,fptransitions.com,,CEO. 13 years leading company growth. Oversees consulting with 2000+ clients annually. Former biotech M&A leader.,RIA M&A consulting
Eric Leeper,FP Transitions,fptransitions.com,,CFO & Principal. CFA. VP of Research & Analysis. Leads financial operations and research.,RIA valuation research
Ryan Grau,FP Transitions,fptransitions.com,,VP Business Valuation Services. CVA CBA. Leads valuation practice.,RIA valuation services
Christine Sjolin,FP Transitions,fptransitions.com,,VP Strategic Development & Operations. Partner. Oversees firm strategy.,RIA operations consulting
Douglas Kreft,FP Transitions,fptransitions.com,,Senior Vice President Sales. Leads business development efforts.,RIA M&A sales
Mary Ann Buchanan,RIA Match,riamatch.com,,Founder & CEO. 25-year industry veteran. Launched RIA Match in 2012. Thought leader on succession planning.,RIA matching and succession platform
David DeVoe,DeVoe & Company,devoeandcompany.com,,Founder & CEO. Named RIA M&A Guru by Barrons. Former Charles Schwab Managing Director. Cornell MBA.,RIA M&A consulting
Gordon Ross,DeVoe & Company,devoeandcompany.com,,President. Former Chief Client Officer at Dynasty Financial Partners. 20+ years industry experience.,RIA M&A consulting
Dan Seivert,ECHELON Partners,echelon-partners.com,,CEO & Founder. 30+ years experience. Worked with 900+ executive teams. Former Capital Group analyst.,RIA investment banking
Barnaby Audsley,ECHELON Partners,echelon-partners.com,,Senior Vice President. Focuses on M&A capital raising and strategic advisory. Notable deal experience.,RIA M&A advisory
Jessica Cline,ECHELON Partners,echelon-partners.com,,Vice President Administration. Oversees office management and HR. Executive Assistant to CEO.,RIA M&A operations
Parker McFadden,ECHELON Partners,echelon-partners.com,,Senior Analyst. Specializes in investment banking M&A advisory and thought leadership.,RIA M&A analysis
John Wepler,MarshBerry,marshberry.com,,CEO. Personally advised on 350+ M&A transactions since 1991. Also CEO of MarshBerry Capital.,RIA investment banking
Eric Hallinan,MarshBerry,marshberry.com,,Executive. Joined 2011. Experience in insurance firm operations finance and technology.,RIA M&A operations
Kim Kovalski,MarshBerry,marshberry.com,,Managing Director. Active in RIA deal sector. MarshBerry is #1 M&A advisory firm for wealth management.,RIA investment banking
Rob Madore,MarshBerry,marshberry.com,,Director. Specializes in wealth management and financial technology M&A advisory.,RIA M&A advisory
Casey Pont,MarshBerry,marshberry.com,,Director. 2024 Business Insurance Women to Watch nominee. Leads M&A advisory team.,RIA M&A advisory
Joe Pellizzari,Mercer Advisors,merceradvisors.com,,VP M&A Partner Development. CFP. 25+ years serving RIAs. Expertise in strategic planning.,RIA M&A and partnership
Dave Welling,Mercer Advisors,merceradvisors.com,,CEO. 20+ years wealth management experience. Former SS&C Advent Managing Director.,RIA aggregator leadership
Daniel Gourvitch,Mercer Advisors,merceradvisors.com,,President. Former Goldman Sachs Wealth Management Division. Former McKinsey Partner.,RIA aggregator leadership
David Barton,Mercer Advisors,merceradvisors.com,,Vice Chairman & M&A Deal Team Leader. Former CEO for 9 years. Leads M&A strategy.,RIA M&A leadership
Josh DeForest,Mercer Advisors,merceradvisors.com,,Executive Managing Director. CFA CFP. Leads Southern Division. Investment committee member.,RIA wealth management
Loren Pierson,Mercer Advisors,merceradvisors.com,,Chief Operations Officer. Oversees firm operations.,RIA operations
Dave Barton,Mercer Capital,mercercapital.com,,Managing Director Investment Management. Provides valuation and consulting services to RIAs.,RIA valuation consulting
Rudy Adolf,Focus Financial Partners,focusfinancial.com,,Founder. Focus manages $400B+ in client assets across 65+ independent RIAs.,RIA aggregator platform
Adam Birenbaum,Focus Partners Wealth,focuspartners.com,,CEO Focus Partners Wealth. President Focus Financial Partners. Grew Buckingham from $6B to $30B+.,RIA aggregator leadership
Wendy Hartman,Buckingham Strategic Wealth,buckinghamstrategicwealth.com,,President & Director. Leads Buckingham Strategic Wealth operations.,RIA wealth management
Alex Potts,Buckingham Strategic Partners,buckinghamstrategicwealth.com,,President Buckingham Strategic Partners. Director. Leads partner firm relations.,RIA partnership platform
Justin Ferri,Buckingham Wealth Partners,buckinghamstrategicwealth.com,,COO. Director. Oversees operations across Buckingham companies.,RIA operations
Jonathan Scheid,Buckingham Strategic Partners,buckinghamstrategicwealth.com,,President BSP. Leads strategic partnerships division.,RIA partnership development
Shirl Penney,Dynasty Financial Partners,dynastyfinancialpartners.com,,Founder & CEO. Dynasty supports 53 partner firms managing $85B+ in assets.,RIA platform provider
Elliot Weissbluth,Hightower Advisors,hightoweradvisors.com,,Founder & Chairman. Co-founded Hightower in 2007. Pioneer in RIA aggregation.,RIA aggregator platform
Larry Restieri,Hightower Advisors,hightoweradvisors.com,,CEO. Former Goldman Sachs executive. Leads firm with $1.8T+ in assets under advisement.,RIA aggregator leadership
Bob Oros,Hightower Advisors,hightoweradvisors.com,,Former CEO. Grew firm from $57B to $1.8T in client assets. Industry veteran.,RIA aggregator leadership
Ron Carson,Carson Group,carsongroup.com,,Founder & Chairman. Founded 1983. Built $38B AUM firm. Now going by Omani Carson.,RIA aggregator founder
